ID	TW	CN	JP	CP950	CP936	GB2312	GBK
392	599D	5986	7CA7	599D	5986	5986	5986
393	5999	5999	5999	5999	5999	5999	5999
394	598A	598A	598A	598A	598A	598A	598A
395	5996	5996	5996	5996	5996	5996	5996
396	59C6	59C6		59C6	59C6	59C6	59C6
397	59D0	59D0		59D0	59D0	59D0	59D0
398	59CD	59D7		59CD	59D7	59D7	59D7
399	59AF	59AF		59AF	59AF	59AF	59AF
400	59D2	59D2		59D2	59D2	59D2	59D2
401	59CB	59CB	59CB	59CB	59CB	59CB	59CB
402	59E3	59E3		59E3	59E3	59E3	59E3
403	5A01	5A01	5A01	5A01	5A01	5A01	5A01
404	59FB	59FB	59FB	59FB	59FB	59FB	59FB
405	5A11	5A11		5A11	5A11	5A11	5A11
406	5A1C	5A1C		5A1C	5A1C	5A1C	5A1C
407	5A20	5A20	5A20	5A20	5A20	5A20	5A20
408	5A1F	5A1F		5A1F	5A1F	5A1F	5A1F
409	5A1B	5A31	5A2F	5A1B	5A31	5A31	5A31
410	5A29	5A29		5A29	5A29	5A29	5A29
411	5A46	5A46	5A46	5A46	5A46	5A46	5A46
412	5A40	5A40		5A40	5A40	5A40	5A40
413	5A66	5987	5A66	5A66	5987	5987	5987
414	5A41	5A04		5A41	5A04	5A04	5A04
415	5A5A	5A5A	5A5A	5A5A	5A5A	5A5A	5A5A
416	5A7F	5A7F	5A7F	5A7F	5A7F	5A7F	5A7F
417	5ABD	5988		5ABD	5988	5988	5988
418	5AC2	5AC2		5AC2	5AC2	5AC2	5AC2
419	5AE1	5AE1	5AE1	5AE1	5AE1	5AE1	5AE1
420	5AD7	59AA		5AD7	59AA	59AA	59AA
421	5AD6	5AD6		5AD6	5AD6	5AD6	5AD6
422	5AE9	5AE9		5AE9	5AE9	5AE9	5AE9
423	5AD8	5AD8		5AD8	5AD8	5AD8	5AD8
424	5AFA	5AFA		5AFA	5AFA		5AFA
425	5B0B	5A75		5B0B	5A75	5A75	5A75
426	5B0C	5A07		5B0C	5A07	5A07	5A07
427	5AF5	59A9		5AF5	59A9	59A9	59A9
428	5B2A	5AD4		5B2A	5AD4	5AD4	5AD4
429	5B30	5A74		5B30	5A74	5A74	5A74
430	5B38	5A76		5B38	5A76	5A76	5A76
431	5B50	5B50	5B50	5B50	5B50	5B50	5B50
